A/C No	 Balance
------	 -------
1001	189383.00
1002	130886.00
1003	192777.00
1004	136915.00
1005	147793.00
1006	138335.00
1007	185386.00
1008	160492.00
1009	116649.00
1010	141421.00
1011	102362.00
1012	190027.00
1013	168690.00
1014	120059.00
1015	197763.00
1016	113926.00
1017	21009.58
1018	183426.00
1019	189172.00
1020	155736.00
1021	105211.00
1022	195368.00
1023	102567.00
1024	156429.00
1025	165782.00
1026	121530.00
1027	122862.00
1028	165123.00
1029	174067.00
1030	103135.00
1031	113929.00
1032	179802.00
1033	134022.00
1034	123058.00
1035	133069.00
1036	198167.00
1037	161393.00
1038	118456.00
1039	175011.00
1040	178042.00
1041	176229.00
1042	189966.48
1043	184421.00
1044	144919.00
1045	113784.00
1046	198537.00
1047	175198.00
1048	194324.00
1049	198315.00
1050	164370.00
1051	166413.00
1052	103526.00
1053	176091.00
1054	168980.00
1055	159956.00
1056	151255.23
1057	106862.00
1058	199170.00
1059	106996.00
1060	197281.00
1061	102305.00
1062	141609.56
1063	177084.00
1064	136327.00
1065	160336.00
1066	126505.00
1067	150846.00
1068	121729.00
1069	161313.00
1070	125857.00
1071	116124.00
1072	153895.00
1073	157391.58
1074	100545.00
1075	198814.00
1076	142836.06
1077	115434.00
1078	190364.00
1079	144043.00
1080	113750.00
1081	171087.00
1082	126808.00
1083	117276.00
1084	147178.00
1085	195788.00
1086	193584.00
1087	105403.00
1088	102651.00
1089	192754.00
1090	112399.00
1091	199932.00
1092	195060.00
1093	149676.00
1094	193368.00
1095	147739.00
1096	110012.00
1097	136226.00
1098	198586.00
1099	148094.00
1100	197539.00
1101	112478.74
1102	180570.00
1103	151434.00
1104	160378.00
1105	197467.00
1106	166601.00
1107	110097.00
1108	112902.00
1109	173317.00
1110	170492.00
1111	126652.00
1112	160756.00
1113	197301.00
1114	160280.00
1115	124286.00
1116	109441.00
1117	153865.00
1118	129689.00
1119	128444.00
1120	146619.00
1121	158440.00
1122	144729.00
1123	158031.00
1124	108117.00
1125	138097.00
1126	105771.00
1127	134481.00
1128	255704.64
1129	120709.00
1130	32053.70
1131	104567.00
1132	177856.00
1133	179497.00
1134	172353.00
1135	154586.00
1136	176965.00
1137	155306.00
1138	164683.00
1139	106219.00
1140	128624.00
1141	231221.02
1142	132871.00
1143	156324.95
1144	148829.00
1145	109503.00
1146	130019.00
1147	158270.00
1148	163368.00
1149	33974.21
1150	186715.00
1151	126340.00
1152	118149.00
1153	147796.00
1154	100723.00
1155	142618.00
1156	102245.00
1157	122846.00
1158	193451.00
1159	192921.00
1160	143555.00
1161	192379.00
1162	197488.00
1163	137764.00
1164	146407.64
1165	169841.00
1166	192350.00
1167	165193.00
1168	141500.00
1169	157034.00
1170	187764.00
1171	170124.00
1172	124914.00
1173	15577.32
1174	175856.00
1175	173743.00
1176	146491.00
1177	122227.00
1178	148365.00
1179	109859.00
1180	181936.00
1181	232883.27
1182	152551.00
1183	116437.00
1184	199228.00
1185	211167.72
1186	175407.00
1187	101474.00
1188	176121.00
1189	168858.00
1190	292971.28
1191	160113.62
1192	161237.00
1193	108235.00
1194	173793.00
1195	165818.00
1196	194428.00
1197	166143.00
1198	181547.62
1199	135928.00
1200	139529.00
1201	118776.00
1202	122404.00
1203	164443.00
1204	155763.00
1205	114613.00
1206	154538.00
1207	118606.00
1208	136840.00
1209	102904.00
1210	144818.00
1211	135128.00
1212	170688.00
1213	197369.00
1214	167917.00
1215	262095.91
1216	164613.52
1217	143324.00
1218	187743.00
1219	159470.00
1220	112183.00
1221	198490.00
1222	195499.00
1223	189772.00
1224	106725.00
1225	185644.00
1226	155590.00
1227	117505.00
1228	33743.35
1229	102954.00
1230	178137.34
1231	107669.00
1232	138082.00
1233	108542.00
1234	188464.00
1235	110197.00
1236	139507.00
1237	159355.00
1238	128804.00
1239	176348.00
1240	178611.00
1241	173622.00
1242	127828.00
1243	149299.00
1244	187343.00
1245	195746.00
1246	135568.00
1247	154340.00
1248	155422.00
1249	21237.57
1250	113810.00
1251	120779.69
1252	159329.92
1253	125661.00
1254	173730.00
1255	144878.00
1256	111305.00
1257	129320.00
1258	178736.00
1259	179444.00
1260	148626.00
1261	148522.00
1262	103465.00
1263	186708.00
1264	173416.00
1265	108282.00
1266	113258.00
1267	112924.00
1268	167637.00
1269	142062.00
1270	105624.00
1271	162600.00
1272	132036.00
1273	133452.00
1274	111899.00
1275	119379.00
1276	145550.00
1277	147468.00
1278	190071.00
1279	100973.00
1280	187131.00
1281	103881.00
1282	184930.00
1283	108933.00
1284	145894.00
1285	90097.77
1286	170163.00
1287	157199.00
1288	187981.00
1289	148899.00
1290	152996.00
1291	152959.00
1292	113773.00
1293	172813.00
1294	139668.00
1295	187190.00
1296	181095.00
1297	152926.00
1298	116466.00
1299	165084.00
1300	111340.00
1301	122090.00
1302	123478.05
1303	143376.00
1304	155542.00
1305	155936.00
1306	191823.59
1307	117445.00
1308	119756.00
1309	169179.00
1310	118418.00
1311	106887.00
1312	189412.00
1313	103348.00
1314	132172.00
1315	151659.00
1316	162009.00
1317	102336.00
1318	23665.61
1319	166342.00
1320	167587.00
1321	208257.45
1322	119301.00
1323	197713.00
1324	17382.46
1325	175321.00
1326	218287.84
1327	164819.00
1328	144599.00
1329	117721.00
1330	139127.19
1331	155939.00
1332	139811.00
1333	173940.00
1334	102492.86
1335	159818.02
1336	146228.00
1337	111127.00
1338	129150.00
1339	165984.00
1340	196658.00
1341	163920.00
1342	189224.00
1343	243455.72
1344	167269.00
1345	130015.12
1346	140150.58
1347	145630.00
1348	140084.00
1349	179292.00
1350	111972.00
1351	107672.00
1352	186193.34
1353	147625.00
1354	105385.00
1355	209742.88
1356	139299.00
1357	106640.00
1358	106042.00
1359	183898.00
1360	140713.00
1361	152298.00
1362	113407.91
1363	180524.00
1364	142590.00
1365	188209.00
1366	108581.00
1367	257987.33
1368	199336.00
1369	137732.00
1370	188502.77
1371	195994.00
1372	118004.00
1373	160379.00
1374	157498.39
1375	246704.48
1376	181776.00
1377	168850.00
1378	147255.00
1379	121860.00
1380	148142.00
1381	175579.00
1382	145884.00
1383	121993.00
1384	123205.00
1385	167621.00
1386	134416.97
1387	162504.00
1388	190613.00
1389	101961.00
1390	162754.00
1391	131326.00
1392	154259.00
1393	118944.00
1394	128202.00
1395	113202.00
1396	421016.41
1397	40218.20
1398	102021.00
1399	122842.00
1400	190868.00
1401	189528.00
1402	141700.42
1403	108872.00
1404	149908.00
1405	149958.00
1406	110498.00
1407	148036.00
1408	118808.00
1409	157753.00
1410	186248.00
1411	183303.00
1412	133333.00
1413	132133.00
1414	121648.00
1415	185165.19
1416	103279.10
1417	117567.00
1418	151746.00
1419	190368.00
1420	119529.00
1421	114500.00
1422	138046.00
1423	186650.08
1424	162144.28
1425	166249.00
1426	186990.00
1427	173303.00
1428	35840.63
1429	105363.00
1430	180797.09
1431	118080.96
1432	110120.48
1433	147686.00
1434	119125.00
1435	161152.00
1436	113996.00
1437	145975.00
1438	109188.00
1439	149157.00
1440	103729.00
1441	209311.95
1442	132460.00
1443	153414.00
1444	143921.00
1445	170460.00
1446	126304.00
1447	160028.00
1448	188027.00
1449	178050.00
1450	166748.00
1451	107556.00
1452	108902.00
1453	104794.00
1454	197697.00
1455	158699.00
1456	171043.00
1457	101039.00
1458	132002.00
1459	190428.00
1460	106403.00
1461	144500.00
1462	93213.23
1463	117647.00
1464	108538.00
1465	136159.00
1466	195151.00
1467	122535.00
1468	101176.65
1469	104339.00
1470	171692.00
1471	102215.00
1472	116127.00
1473	120504.00
1474	155629.00
1475	160049.00
1476	190964.00
1477	110679.88
1478	67898.59
1479	209212.36
1480	176335.00
1481	103177.00
1482	110205.90
1483	84697.15
1484	107971.00
1485	116949.00
1486	16164.32
1487	96851.40
1488	117988.00
1489	192292.00
1490	45030.89
1491	140743.00
1492	153144.00
1493	156309.80
1494	41428.97
1495	227669.45
1496	166369.14
1497	153541.00
1498	100569.00
1499	153826.00
1500	174232.00
1501	18226.41
1502	247392.27
1503	190360.00
1504	116864.30
1505	124337.91
1506	178601.03
1507	66291.65
1508	126309.00
1509	103190.00
1510	109174.53
1511	118996.00
1512	106367.00
1513	114677.00
1514	104234.00
1515	136995.61
1516	131626.00
1517	164524.00
1518	204117.52
1519	226861.92
1520	141035.77
1521	128205.00
1522	190358.00
1523	126312.00
1524	147386.00
1525	165100.00
1526	104346.00
1527	70219.25
1528	30718.97
1529	67618.82
1530	156552.00
1531	70403.52
1532	193529.00
1533	128946.00
1534	66142.98
1535	102647.00
1536	75959.02
1537	199051.00
1538	119080.00
1539	199631.00
1540	59112.59
1541	130857.00
1542	118627.00
1543	141312.00
1544	186927.23
1545	139214.00
1546	188355.00
1547	193512.00
1548	120090.00
1549	122535.25
1550	159479.00
1551	109610.00
1552	158969.00
1553	86324.26
1554	152274.00
1555	186404.42
1556	147641.00
1557	151249.62
1558	125433.00
1559	198987.00
1560	177888.00
1561	198338.00
1562	124566.00
1563	187770.00
1564	127284.00
1565	156856.00
1566	304591.00
1567	100606.00
1568	172260.00
1569	125849.00
1570	107353.83
1571	107205.00
1572	173059.00
1573	135217.00
1574	148518.00
1575	134945.00
1576	204328.59
1577	146590.98
1578	48969.92
1579	110873.00
1580	167637.00
1581	104289.00
1582	120483.00
1583	126607.00
1584	170478.00
1585	165108.67
1586	149314.00
1587	42500.20
1588	145729.00
1589	277140.91
1590	264040.41
1591	123618.00
1592	189438.00
1593	158025.00
1594	111388.00
1595	225006.48
1596	140550.55
1597	118157.00
1598	133681.00
1599	169874.48
1600	160358.00
1601	150270.00
1602	110699.00
1603	99166.79
1604	101839.00
1605	175569.00
1606	270664.09
1607	192622.00
1608	128794.00
1609	121208.28
1610	274452.62
1611	196431.00
1612	19516.34
1613	214063.39
1614	229139.44
1615	104292.00
1616	145791.00
1617	105057.00
1618	155115.00
1619	191521.00
1620	262959.22
1621	188574.00
1622	95131.91
1623	101947.00
1624	225557.61
1625	159231.00
1626	135021.00
1627	110537.00
1628	193740.00
1629	185054.00
1630	76434.66
1631	154098.00
1632	218805.77
1633	217912.81
1634	187516.00
1635	153516.00
1636	133002.00
1637	172231.00
1638	196503.66
1639	161796.00
1640	185404.00
1641	233732.66
1642	174580.00
1643	119218.00
1644	139021.00
1645	42470.79
1646	74439.43
1647	187983.95
1648	135379.00
1649	290525.88
1650	192685.00
1651	75510.57
1652	160411.59
1653	28950.07
1654	133483.00
1655	118338.54
1656	119323.86
1657	24427.59
1658	189744.00
1659	59876.00
1660	169911.00
1661	120127.00
1662	238056.25
1663	105236.00
1664	177560.00
1665	167818.00
1666	175105.00
1667	126820.30
1668	140049.00
1669	121244.00
1670	242045.30
1671	141805.00
1672	119934.00
1673	138836.17
1674	77872.22
1675	144987.66
1676	97302.72
1677	143073.81
1678	245868.58
1679	128993.00
1680	144918.00
1681	152805.00
1682	66832.87
1683	159190.27
1684	176982.00
1685	145971.52
1686	124030.00
1687	206802.61
1688	111574.00
1689	130126.00
1690	224665.44
1691	181486.00
1692	150253.00
1693	160764.75
1694	103074.00
1695	127814.00
1696	185146.27
1697	22182.78
1698	138377.00
1699	34842.36
1700	115775.00
1701	193902.11
1702	105121.78
1703	135710.00
1704	147765.52
1705	110294.00
1706	111017.00
1707	62546.41
1708	383242.50
1709	171137.00
1710	145691.00
1711	112618.86
1712	123943.00
1713	61715.45
1714	166328.00
1715	100925.00
1716	149291.00
1717	70664.52
1718	194018.00
1719	142405.94
1720	124672.04
1721	258597.92
1722	175055.00
1723	151751.14
1724	163858.00
1725	178130.00
1726	175690.98
1727	231921.12
1728	172661.00
1729	169633.00
1730	189685.00
1731	104789.00
1732	113073.00
1733	131308.89
1734	156851.00
1735	119805.00
1736	132141.09
1737	60149.70
1738	182128.14
1739	117258.44
1740	139006.00
1741	182195.00
1742	82758.55
1743	162949.00
1744	121120.00
1745	261379.75
1746	180226.00
1747	14941.84
1748	187677.00
1749	190596.00
1750	175623.66
1751	150866.42
1752	187560.00
1753	139036.00
1754	63866.86
1755	238346.11
1756	144198.42
1757	159211.00
1758	76281.54
1759	122532.00
1760	145196.00
1761	172379.00
1762	127321.00
1763	158270.00
1764	194984.00
1765	138597.47
1766	193957.95
1767	144234.00
1768	152040.00
1769	198782.22
1770	170072.00
1771	107398.00
1772	141287.81
1773	101063.00
1774	181035.05
1775	166950.00
1776	167262.39
1777	150573.00
1778	100176.27
1779	315927.50
1780	157522.00
1781	48919.15
1782	135935.61
1783	145082.00
1784	189435.00
1785	171232.00
1786	154388.11
1787	122954.00
1788	130443.00
1789	73472.75
1790	110231.34
1791	175640.00
1792	226642.08
1793	214978.20
1794	129159.56
1795	179262.00
1796	189683.00
1797	161041.00
1798	139848.00
1799	231830.88
1800	79717.27
1801	126272.00
1802	113948.23
1803	154154.00
1804	127335.00
1805	143569.14
1806	111977.73
1807	109365.00
1808	67334.18
1809	205736.88
1810	80148.26
1811	160269.00
1812	125218.00
1813	146095.31
1814	121703.00
1815	24083.85
1816	39287.62
1817	81629.38
1818	75160.94
1819	256527.33
1820	162806.00
1821	70743.32
1822	79960.43
1823	147084.00
1824	121308.00
1825	23340.47
1826	142698.00
1827	133972.86
1828	176376.00
1829	404080.00
1830	152715.00
1831	101052.00
1832	208674.47
1833	118189.00
1834	171559.00
1835	152506.00
1836	154696.06
1837	109016.00
1838	178224.00
1839	173109.00
1840	80350.35
1841	190000.00
1842	245628.36
1843	158109.00
1844	145053.00
1845	155081.00
1846	189114.00
1847	196531.72
1848	105989.00
1849	177043.73
1850	125709.05
1851	185147.00
1852	217071.48
1853	189338.88
1854	132231.00
1855	258604.02
1856	192122.00
1857	204861.95
1858	202745.33
1859	86867.08
1860	287235.62
1861	176590.00
1862	20387.49
1863	115350.00
1864	86917.46
1865	213142.62
1866	30385.30
1867	181494.00
1868	332283.94
1869	146081.00
1870	252853.27
1871	115720.00
1872	152433.00
1873	201328.72
1874	227300.06
1875	54747.64
1876	70939.30
1877	98664.97
1878	168825.00
1879	78965.69
1880	103436.44
1881	249664.14
1882	213763.48
1883	3740.56
1884	190032.00
1885	93170.05
1886	232706.91
1887	198506.00
1888	268453.97
1889	167057.00
1890	79938.16
1891	217964.42
1892	17279.64
1893	42572.48
1894	42246.73
1895	283963.22
1896	175776.00
1897	173391.05
1898	218193.33
1899	191309.00
1900	97636.04
1901	139932.00
1902	132142.12
1903	243498.66
1904	144266.00
1905	113563.00
1906	172816.69
1907	84885.70
1908	109211.00
1909	177685.00
1910	226141.69
1911	164285.00
1912	190930.00
1913	135990.00
1914	224356.66
1915	246931.12
1916	162230.80
1917	293727.69
1918	64790.44
1919	210883.02
1920	137525.00
1921	195528.00
1922	138839.00
1923	197525.00
1924	276844.25
1925	54742.00
1926	108556.56
1927	203080.88
1928	147643.00
1929	119626.95
1930	180928.00
1931	36608.88
1932	87875.87
1933	33737.96
1934	128629.18
1935	170888.00
1936	129029.16
1937	126815.00
1938	174570.00
1939	143437.00
1940	120853.00
1941	231593.61
1942	191007.42
1943	41745.46
1944	112350.00
1945	118657.00
1946	3509.38
1947	163827.00
1948	189126.00
1949	121269.00
1950	29296.64
1951	231340.44
1952	206750.55
1953	160910.00
1954	140528.00
1955	130639.00
1956	128398.00
1957	141888.00
1958	136610.00
1959	192393.00
1960	91837.04
1961	7817.16
1962	213103.30
1963	82147.24
1964	154552.00
1965	147214.31
1966	248301.02
1967	188777.00
1968	160099.00
1969	107803.65
1970	148566.00
1971	180952.00
1972	21942.52
1973	172641.00
